WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avgataturk_sefer1_service,avgataturk_sefer1_sira,avgataturk_sefer2_service,avgataturk_sefer2_sira,avg_gecis,azu_gecis,mahalle,trafik_seviyesi
"LINESTRING (27.1829332 38.3684797, 27.1829417 38.3686884)",,1416. sk.,339,340.0,23.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1829417 38.3686884, 27.1835355 38.3686804)",,1403. sk.,339,342.0,52.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1835355 38.3686804, 27.183538 38.3686288, 27.1835352 38.3685473)",,1403. sk.,341,342.0,15.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1828693 38.3695281, 27.1829417 38.3686884)",,1416. sk.,338,339.0,94.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.181763 38.3696115, 27.182872 38.3695284)",,1401. sk.,250,338.0,97.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1871026 38.3700424, 27.1870867 38.3701333)",,1408. sk.,249,336.0,10.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1870867 38.3701333, 27.1871977 38.3701313)",,Ahmet Pristina Blv.,248,249.0,10.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1761943 38.3777201, 27.1762161 38.3776813, 27.1765325 38.3774757)",Çizgi 1,Hoca Ahmet Yesevi cd.,100,101.0,41.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,yuksek
"LINESTRING (27.1765325 38.3774757, 27.1766965 38.3773692, 27.1770781 38.3771484, 27.1772564 38.3770596, 27.1774951 38.376936, 27.177744 38.3767817)",Çizgi 3,Hoca Ahmet Yesevi cd.,101,102.0,131.0,700.0,3000.0,cift,1.0,7.0,0.0,0.0,1,1,ataturk,yuksek
"LINESTRING (27.177744 38.3767817, 27.1778614 38.3767112, 27.1780854 38.376585, 27.1785201 38.3763189)",Çizgi 4,Hoca Ahmet Yesevi cd.,102,105.0,85.0,0.0,6000.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,yuksek
"LINESTRING (27.1785201 38.3763189, 27.1788964 38.3761689)",Çizgi 5,Hoca Ahmet Yesevi cd.,105,108.0,37.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,yuksek
"LINESTRING (27.1800611 38.3759386, 27.1804686 38.3765792)",Çizgi 6,206/13,67,110.0,80.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,orta
"LINESTRING (27.1800611 38.3759386, 27.1805038 38.3758144, 27.1816214 38.3752626)",Çizgi 8,Hoca Ahmet Yesevi cd.,67,114.0,156.0,0.0,9000.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,yuksek
"LINESTRING (27.1816214 38.3752626, 27.1818694 38.375588, 27.1818728 38.3756804, 27.1818641 38.3757801, 27.18184 38.3759827)",Çizgi 11,202/37 sk.,113,114.0,86.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.18184 38.3759827, 27.1818392 38.3761313, 27.1818281 38.3762098, 27.1818344 38.3762936, 27.1818222 38.376343, 27.1817968 38.3765017, 27.1816922 38.3767725)",Çizgi 12,202/37 sk.,181,113.0,90.0,2100.0,0.0,cift,1.0,2.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1816922 38.3767725, 27.181548 38.3765731, 27.1814239 38.3763663, 27.1813365 38.3761975)",Çizgi 13,202/37 sk.,181,112.0,71.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1813365 38.3761975, 27.18184 38.3759827)",Çizgi 14,204/31 sk.,112,113.0,50.0,0.0,0.0,cift,1.0,6.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1804686 38.3765792, 27.1813365 38.3761975)",Çizgi 15,204/31 sk.,110,112.0,87.0,1400.0,0.0,cift,1.0,3.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1816998 38.3769268, 27.1816922 38.3767725)",Çizgi 16,202/37 sk.,180,181.0,17.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1804686 38.3765792, 27.1809965 38.3773302)",Çizgi 17,206/13 sk.,182,110.0,95.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,orta
"LINESTRING (27.1809965 38.3773302, 27.1804646 38.3775673)",Çizgi 18,204/27 sk.,182,183.0,53.0,1400.0,0.0,cift,1.0,4.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1809965 38.3773302, 27.1813482 38.37719, 27.1814468 38.3771252, 27.1815028 38.377086, 27.1815401 38.3770563, 27.1815874 38.377015, 27.1816998 38.3769268)",Çizgi 19,204/27 sk.,180,182.0,77.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1804646 38.3775673, 27.1800052 38.3773718)",Çizgi 20,204/4 sk.,183,184.0,46.0,1400.0,0.0,cift,1.0,5.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1800052 38.3773718, 27.1797891 38.3772825, 27.1796248 38.3771684, 27.1795959 38.377151, 27.179545 38.3770769, 27.1794967 38.377028, 27.1793781 38.3769545)",Çizgi 21,204/4 sk.,184,109.0,73.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1793781 38.3769545, 27.1797369 38.3768507, 27.1804686 38.3765792)",Çizgi 22,204/31 sk.,109,110.0,104.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1792328 38.3770029, 27.1793781 38.3769545)",Çizgi 23,204/31 sk.,107,109.0,14.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1792328 38.3770029, 27.1785201 38.3763189)",Çizgi 25,204/1 sk.,105,107.0,98.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1761943 38.3777201, 27.1762972 38.3777752, 27.1763317 38.3778065, 27.176375 38.3778693, 27.1765943 38.3782851, 27.1767121 38.3784888, 27.1768258 38.3786789)",,206 sk.,100,71.0,122.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,orta
"LINESTRING (27.1768258 38.3786789, 27.1770165 38.3789512, 27.1774452 38.3798368)",Çizgi 27,206 sk.,71,72.0,140.0,2800.0,0.0,cift,1.0,8.0,0.0,0.0,1,1,ataturk,orta
"LINESTRING (27.1774452 38.3798368, 27.1779029 38.3806187)",Çizgi 28,206. sk.,79,72.0,96.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,ataturk,orta
"LINESTRING (27.1774469 38.3798347, 27.1775356 38.3798383, 27.1775878 38.3798296, 27.1777431 38.3797949, 27.177846 38.3797904, 27.1779436 38.3797886, 27.1783877 38.3798157, 27.1786176 38.3798411)",Çizgi 25,209/1 sk.,72,85.0,103.0,1400.0,0.0,cift,1.0,9.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1786176 38.3798411, 27.1786747 38.3796097)",Çizgi 26,63/4. sk.,86,85.0,26.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1786747 38.3796097, 27.1787047 38.3794967)",Çizgi 27,63/4 sk.,86,87.0,13.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1787047 38.3794967, 27.1788148 38.3790395)",Çizgi 28,63/4 sk.,87,83.0,52.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1788148 38.3790395, 27.1788371 38.3789864, 27.1789915 38.3783436)",Çizgi 29,63/4 sk.,82,83.0,79.0,1400.0,0.0,cift,1.0,10.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1776706 38.3780671, 27.1789915 38.3783436)",Çizgi 30,204/7 sk.,82,81.0,119.0,1400.0,0.0,cift,1.0,11.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1778398 38.3788427, 27.1788148 38.3790395)",Çizgi 31,204/12 sk.,84,83.0,88.0,1400.0,0.0,cift,1.0,12.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1778398 38.3788427, 27.1778096 38.3787268, 27.1776706 38.3780671)",Çizgi 32,63/3 sk.,81,84.0,88.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1776706 38.3780671, 27.1776148 38.3779384, 27.1775947 38.3778911, 27.1775625 38.3778291, 27.1774509 38.3774726)",Çizgi 33,206/12 sk.,81,103.0,69.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1778398 38.3788427, 27.1778297 38.3790756, 27.1779632 38.3791955, 27.1783359 38.3794567, 27.1784011 38.3794951, 27.1786747 38.3796097)",Çizgi 34,63/3 sk.,84,86.0,121.0,2100.0,0.0,cift,1.0,13.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1787047 38.3794967, 27.1794692 38.379637, 27.1795724 38.3796528, 27.1796516 38.3796538, 27.1796972 38.3796318, 27.1798004 38.3796202, 27.1798862 38.3796244, 27.1800109 38.3796139, 27.1802108 38.3795413, 27.1803819 38.379518)",Çizgi 35,63/5 sk.,87,88.0,151.0,2100.0,0.0,cift,1.0,14.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.179744 38.3780486, 27.1802529 38.378153)",Çizgi 36,204 sk.,187,188.0,46.0,700.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1798673 38.3777075, 27.1800052 38.3773718)",Çizgi 37,204/15 sk.,184,185.0,39.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.179744 38.3780486, 27.1798673 38.3777075)",Çizgi 38,204/15 sk.,185,188.0,39.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1798673 38.3777075, 27.1799437 38.3777294, 27.1800033 38.3777346, 27.1801831 38.3777156)",Çizgi 39,204/16 sk.,186,185.0,28.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1802529 38.378153, 27.1801831 38.3777156)",Çizgi 40,204/15 sk.,186,187.0,49.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1801831 38.3777156, 27.180294 38.3776587, 27.1804646 38.3775673)",Çizgi 41,204/16 sk.,183,186.0,30.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1802529 38.378153, 27.1806489 38.3782614, 27.180677 38.3784182)",Çizgi 42,204 sk.,187,188.0,54.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1805707 38.3787837, 27.1806476 38.3785396, 27.180677 38.3784182)",Çizgi 43,204/4 sk.,190,189.0,42.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1805707 38.3787837, 27.1811502 38.3788952)",Çizgi 44,204/8 sk.,190,191.0,52.0,700.0,0.0,cift,1.0,16.0,0.0,0.0,1,0,ataturk,dusuk
"LINESTRING (27.1803819 38.379518, 27.1804297 38.3793658)",Çizgi 45,207 sk.,88,192.0,17.0,2100.0,0.0,cift,1.0,18.0,0.0,0.0,1,0,ataturk,dusuk
