WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1909069 38.3735748, 27.190902 38.3732095)",,Hacı Bektas Veli Sk.,393,394,41,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901765 38.3736929, 27.1909069 38.3735748)",,202/5 sk.,314,394,65,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901765 38.3736929, 27.1902255 38.373944, 27.1903676 38.3742646, 27.1904977 38.3745089)",,202 sk.,313,314,96,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.189536 38.3738866, 27.1899152 38.374315, 27.1902515 38.3747729, 27.1903816 38.3749991)",,202/3 sk.,236,237,144,0,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1902636 38.375049, 27.1903816 38.3749991)",,201 sk.,235,236,12,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1903816 38.3749991, 27.1906826 38.3749247)",,201 sk.,236,312,28,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1909069 38.3735748, 27.1909478 38.3739445, 27.1910047 38.3743078)",,Hacı Bektas Veli Sk.,394,395,82,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1909069 38.3735748, 27.191646 38.373526)",,202/5 sk.,308,394,65,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904977 38.3745089, 27.1907569 38.3743922, 27.1908748 38.3743479, 27.1910047 38.3743078)",,201/4 sk.,313,395,50,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904724 38.3724412, 27.1907788 38.3723874)",,Hoca Ahmet Yesevi Cd.,318,319,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1907788 38.3723874, 27.1911572 38.3722752)",,Hoca Ahmet Yesevi Cd.,318,392,35,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1923723 38.3721617, 27.1930836 38.3722019)",,Hoca Ahmet Yesevi Cd.,304,305,62,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1921549 38.3730764, 27.1922973 38.3729572, 27.1923756 38.3728102)",,203/52 sk.,306,307,36,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1923756 38.3728102, 27.1924172 38.3727639, 27.1924119 38.3726451, 27.1924132 38.3725851, 27.1923723 38.3721617)",,203/52 sk.,305,306,73,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1910047 38.3743078, 27.1916225 38.3742708)",,201/4 sk.,395,309,54,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916225 38.3742708, 27.1916079 38.3741863, 27.1916039 38.3740565, 27.191646 38.373526)",,203/31 sk.,308,309,83,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1904977 38.3745089, 27.1906826 38.3749247)",,202 sk.,312,313,49,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1906826 38.3749247, 27.1911111 38.3753035, 27.1912423 38.3753895)",,202 sk.,311,312,71,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904429 38.375328, 27.190674 38.3753712, 27.1908101 38.3753922, 27.1909026 38.3753969, 27.1909931 38.3754011, 27.1912423 38.3753895)",,201/2 sk.,234,311,71,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1902636 38.375049, 27.1904429 38.375328)",,202/3 sk.,234,235,35,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904429 38.375328, 27.19069 38.3757782, 27.1908156 38.3760035, 27.1909492 38.3762262)",,202/3 sk.,233,234,109,2100,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1912423 38.3753895, 27.1915633 38.3757807, 27.1916109 38.3758225)",,202 sk.,232,311,58,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1910047 38.3743078, 27.1910755 38.3744784, 27.1912372 38.3747316, 27.1913885 38.3749264, 27.1917791 38.3752975, 27.1919134 38.3754144)",,Hacı Bektas Veli Sk.,231,395,148,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916225 38.3742708, 27.1917363 38.3746727)",,203/31 sk.,309,310,46,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1917363 38.3746727, 27.1918522 38.3746973, 27.1924182 38.3748001)",,,229,310,61,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1917363 38.3746727, 27.1917817 38.3748365, 27.1918045 38.3748775, 27.1919017 38.3749826, 27.1921118 38.3751886)",,203/31 sk.,230,310,67,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916225 38.3742708, 27.1920201 38.3743167, 27.1926993 38.3744204)",,201/4 sk.,228,309,95,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1905241 38.3660351, 27.190577 38.366011, 27.1906722 38.3659881, 27.1907054 38.3659849, 27.1907979 38.3659857, 27.1909173 38.3659915, 27.1909971 38.3659926, 27.1910346 38.3659986, 27.1910752 38.3660191, 27.1910903 38.366042, 27.1911009 38.366099, 27.1911129 38.3661336, 27.1911355 38.3661602, 27.191164 38.366178, 27.19121 38.3661899, 27.1912338 38.3662014)",,,205,206,77,3500,0,cift,1,10,0,0,1,1,1,kurucesme
"LINESTRING (27.1908376 38.3663476, 27.1910771 38.3662412, 27.1912309 38.3662023)",,205/52 sk.,206,269,38,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901568 38.3670807, 27.1894878 38.3665559)",,205/16 sk.,265,352,147,3500,0,cift,0,0,1,3,0,1,0,kurucesme
"LINESTRING (27.1912309 38.3662023, 27.1913975 38.3661845, 27.1919168 38.3661209, 27.1921507 38.3660926)",,205/52 sk.,206,207,81,2800,0,cift,1,9,0,0,1,1,1,kurucesme
"LINESTRING (27.1921507 38.3660926, 27.192271 38.3660735, 27.192697 38.3659582)",,205/52 sk.,207,208,50,2100,0,cift,1,11,0,0,1,1,1,kurucesme
"LINESTRING (27.1908376 38.3663476, 27.1909953 38.366501, 27.1912595 38.3667144, 27.191368 38.3667887)",,205/27 sk.,269,270,68,2100,0,cift,0,0,1,2,0,1,0,kurucesme
"LINESTRING (27.1910387 38.3670973, 27.191368 38.3667887)",,,270,354,45,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1910387 38.3670973, 27.1916049 38.3674365)",,205 sk.,354,355,62,700,0,cift,1,8,0,0,1,1,1,kurucesme
"LINESTRING (27.191368 38.3667887, 27.1918187 38.3670256, 27.1922855 38.3673133, 27.192495 38.3674693)",,205/27 sk.,270,271,124,2800,0,cift,1,15,0,0,1,1,1,kurucesme
"LINESTRING (27.1927245 38.3662968, 27.192697 38.3659582)",,,208,274,38,1400,0,cift,1,13,0,0,1,1,1,kurucesme
"LINESTRING (27.1927245 38.3662968, 27.1927156 38.3663249, 27.1927142 38.3663853, 27.1927249 38.3664647, 27.1927417 38.3665504, 27.1927491 38.3666907, 27.1927357 38.3668785, 27.1927287 38.3669119, 27.1927285 38.366972)",,,273,274,76,1400,0,cift,1,14,0,0,1,1,1,kurucesme
"LINESTRING (27.192495 38.3674693, 27.1927557 38.3670746)",,205/51 sk.,271,272,49,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1927557 38.3670746, 27.1931509 38.3671704, 27.1932668 38.3672133)",,205/20 sk.,272,360,47,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932668 38.3672133, 27.1930366 38.3673984)",,205/3 sk.,359,360,29,2100,0,cift,1,16,0,0,1,1,1,kurucesme
"LINESTRING (27.1927245 38.3662968, 27.1927604 38.3662805, 27.192802 38.3662703, 27.1928251 38.3662676, 27.1928727 38.3662705, 27.1929767 38.36629, 27.1936615 38.3663151, 27.1938314 38.3663362)",,205/39 sk.,274,275,98,1400,0,cift,1,12,0,0,1,1,1,kurucesme
"LINESTRING (27.1938314 38.3663362, 27.1944094 38.3665459)",,205/39 sk.,275,276,56,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1938314 38.3663362, 27.1938364 38.3669421)",,205/37 sk.,275,361,67,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1938364 38.3669421, 27.1944016 38.3667041)",,205/3 sk.,361,362,56,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1944016 38.3667041, 27.1944094 38.3665459)",,205/2 sk.,276,362,18,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932668 38.3672133, 27.1938364 38.3669421)",,205/3 sk,360,361,58,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.194399 38.3659033, 27.1948816 38.3658658)",,205/31 sk.,277,278,42,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.192495 38.3674693, 27.1923688 38.3676874)",,205/51 sk.,271,357,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1923688 38.3676874, 27.1926219 38.3678308)",,205/3 sk.,357,358,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1926219 38.3678308, 27.192884 38.3679674)",,205/3 sk.,358,414,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1920718 38.3681356, 27.1921633 38.3683595)",,205 sk.,412,413,26,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1921633 38.3683595, 27.1925862 38.3681519, 27.192884 38.3679674)",,205/17 sk.,413,414,77,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.192884 38.3679674, 27.1930287 38.3681329, 27.1932366 38.3684319)",,205/3 sk.,414,415,60,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1930366 38.3673984, 27.1936795 38.3675955, 27.1940888 38.367675)",,205/13 sk.,359,428,97,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1940888 38.367675, 27.1939535 38.368147)",,205/2 sk.,376,428,54,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932366 38.3684319, 27.1934103 38.3687976, 27.1934391 38.3689081)",,205/3 sk.,415,416,56,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1934391 38.3689081, 27.1934631 38.3689645)",,205/3 sk.,416,417,7,0,0,cift,0,0,0,0,1,1,1,kurucesme
